PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31066000","Topological Data Analysis","Laubenbacher R, Hastings A.","Bull Math Biol. 2019 Jul;81(7):2051. doi: 10.1007/s11538-019-00610-3.","Laubenbacher R","Bull Math Biol","2019","2019/05/09","","","10.1007/s11538-019-00610-3"
"31410371","Editorial: Topological Neuroscience","Expert P, Lord LD, Kringelbach ML, Petri G.","Netw Neurosci. 2019 Jul 1;3(3):653-655. doi: 10.1162/netn_e_00096. eCollection 2019.","Expert P","Netw Neurosci","2019","2019/08/15","PMC6663069","","10.1162/netn_e_00096"
"33928240","Applications of Topological Data Analysis in Oncology","Bukkuri A, Andor N, Darcy IK.","Front Artif Intell. 2021 Apr 13;4:659037. doi: 10.3389/frai.2021.659037. eCollection 2021.","Bukkuri A","Front Artif Intell","2021","2021/04/30","PMC8076640","","10.3389/frai.2021.659037"
"34310672","Randomized Self-Organizing Map","Rougier NP, Detorakis GI.","Neural Comput. 2021 Jul 26;33(8):2241-2273. doi: 10.1162/neco_a_01406.","Rougier NP","Neural Comput","2021","2021/07/26","","","10.1162/neco_a_01406"
"33454259","Topological Data Analysis of Coronary Plaques for Risk Prediction: False Dawn or Realistic Hope?","Dwivedi G, Jaltotage B.","JACC Cardiovasc Imaging. 2021 Jul;14(7):1422-1424. doi: 10.1016/j.jcmg.2020.12.008. Epub 2021 Jan 13.","Dwivedi G","JACC Cardiovasc Imaging","2021","2021/01/17","","","10.1016/j.jcmg.2020.12.008"
"34661095","An Introduction to Topological Data Analysis: Fundamental and Practical Aspects for Data Scientists","Chazal F, Michel B.","Front Artif Intell. 2021 Sep 29;4:667963. doi: 10.3389/frai.2021.667963. eCollection 2021.","Chazal F","Front Artif Intell","2021","2021/10/18","PMC8511823","","10.3389/frai.2021.667963"
"35508272","Topological data analysis in biomedicine: A review","Skaf Y, Laubenbacher R.","J Biomed Inform. 2022 Jun;130:104082. doi: 10.1016/j.jbi.2022.104082. Epub 2022 May 1.","Skaf Y","J Biomed Inform","2022","2022/05/04","","","10.1016/j.jbi.2022.104082"
"34803594","Topological Data Analysis as a New Tool for EEG Processing","Xu X, Drougard N, Roy RN.","Front Neurosci. 2021 Nov 3;15:761703. doi: 10.3389/fnins.2021.761703. eCollection 2021.","Xu X","Front Neurosci","2021","2021/11/22","PMC8595401","","10.3389/fnins.2021.761703"
"32199853","Individualized Patient Risk Stratification Using Machine Learning and Topological Data Analysis","Ng ACT, Delgado V, Bax JJ.","JACC Cardiovasc Imaging. 2020 May;13(5):1133-1134. doi: 10.1016/j.jcmg.2020.02.003. Epub 2020 Mar 18.","Ng ACT","JACC Cardiovasc Imaging","2020","2020/03/23","","","10.1016/j.jcmg.2020.02.003"
"32098851","Topological data analysis of zebrafish patterns","McGuirl MR, Volkening A, Sandstede B.","Proc Natl Acad Sci U S A. 2020 Mar 10;117(10):5113-5124. doi: 10.1073/pnas.1917763117. Epub 2020 Feb 25.","McGuirl MR","Proc Natl Acad Sci U S A","2020","2020/02/27","PMC7071871","","10.1073/pnas.1917763117"
