Funder,2020,2021,2022,Overall
National Natural Science Foundation of China,51%,50%,52%,50%
US National Institutes of Health,74%,74%,72%,74%
European Commission,89%,90%,90%,88%
US National Science Foundation,67%,70%,71%,62%
German Research Foundation,72%,75%,76%,57%
Gobierno de España,82%,84%,85%,80%
US Department of Energy,76%,76%,76%,73%
Natural Sciences and Engineering Research Council of Canada,54%,55%,58%,53%
"Department of Science & Technology, India",58%,53%,51%,57%
US Department of Defense,49%,53%,52%,49%
Chinese Academy of Sciences,59%,59%,61%,60%
UK Engineering and Physical Sciences Research Council,91%,91%,92%,90%
Swiss National Science Foundation,90%,92%,93%,88%
Government of Italy,82%,83%,83%,82%
Canadian Institutes of Health Research,69%,72%,75%,63%
"Fundação para a Ciência e a Tecnologia, Portugal",77%,77%,79%,78%
Australian Research Council,76%,74%,75%,77%
UK Medical Research Council,94%,94%,79%,86%
"National Institute for Health Research, UK",57%,61%,64%,56%
US National Aeronautics and Space Administration,67%,74%,71%,67%
"Council of Scientific and Industrial Research, India",57%,52%,51%,58%
Wellcome Trust,67%,77%,81%,73%
Agence Nationale de la Recherche,92%,91%,92%,90%
Swedish Research Council,83%,85%,88%,74%
"Federal Ministry of Education and Research, Germany",81%,84%,84%,80%
"National Health and Medical Research Council, Australia",68%,68%,73%,68%
Research Foundation (Flanders),77%,78%,79%,64%
US Department of Agriculture,89%,89%,89%,88%
Austrian Science Fund,91%,93%,93%,89%
Netherlands Organisation for Scientific Research,94%,95%,96%,93%
Gobierno de Argentina,56%,53%,52%,67%
"Research Grants Council, Hong Kong",46%,49%,48%,45%
Research Council of Norway,90%,92%,91%,87%
Academy of Finland,93%,94%,95%,89%
UK Biotechnology and Biological Sciences Research Council,94%,94%,77%,86%
"Department of Biotechnology, India",70%,65%,63%,69%
US Department of Veterans Affairs,68%,68%,69%,67%
UK Economic and Social Research Council,92%,92%,94%,90%
Science Foundation Ireland,89%,77%,78%,83%
UK Research & Innovation,91%,92%,93%,91%
UK Natural Environment Research Council,93%,94%,94%,93%
UK Science and Technology Facilities Council,96%,96%,97%,96%
Howard Hughes Medical Institute,95%,94%,95%,93%
Cancer Research UK,63%,66%,69%,59%
Bill & Melinda Gates Foundation,95%,95%,95%,94%
"National Institute of Health and Medical Research, France",91%,91%,92%,85%
"National Science Centre, Poland",-,82%,82%,81%
"Social Sciences and Humanities Research Council, Canada",44%,48%,53%,44%
"National Research Foundation, South Africa",45%,44%,42%,44%
British Heart Foundation,64%,66%,68%,56%
Danish Council for Independent Research,71%,68%,70%,62%
Helmholtz Association,88%,90%,90%,86%
Fundação de Amparo à Pesquisa do Estado de São Paulo,-,60%,60%,60%
Hungarian Scientific Research Fund,91%,90%,88%,83%
Fonds de recherche du Québec - Santé,81%,81%,81%,78%
US National Oceanic and Atmospheric Administration,69%,70%,67%,67%
American Heart Association,72%,73%,72%,73%
"National Fund for Scientific Research, Belgium",79%,80%,81%,74%
Scientific and Technological Research Council of Turkey,3%,0%,1%,1%
Slovenian Research Agency,82%,84%,86%,83%
"Ministry of Education, Science and Technological Development of the Republic of Serbia",80%,78%,79%,79%
"National Office for Research, Development and Innovation, Hungary",91%,92%,89%,89%
Netherlands Organisation for Health Research and Development,95%,61%,62%,75%
Knut and Alice Wallenberg Foundation,93%,93%,94%,92%
Indian Council of Agricultural Research,77%,68%,69%,74%
"Department of International Development, UK",94%,94%,93%,93%
"Swedish Research Council for Environment, Agricultural Sciences and Spatial Planning",90%,94%,94%,87%
"National Research Foundation, Singapore",55%,57%,56%,49%
Danish National Research Foundation,82%,82%,83%,79%
"A*Star, Singapore",72%,77%,73%,71%
Royal Society UK,91%,91%,91%,91%
Japan Science and Technology Agency,-,-,76%,74%
Hungarian Academy of Sciences,83%,84%,84%,76%
US Department of Transportation,55%,56%,56%,57%
US Agency for International Development,91%,91%,91%,91%
US Department of Education,20%,20%,21%,18%
UK Arts & Humanities Research Council,82%,82%,84%,80%
"Swedish Council for Health, Labor and Welfare",88%,91%,93%,86%
CGIAR,95%,95%,95%,94%
Genome Canada,78%,81%,83%,69%
Volkswagen Foundation,68%,73%,74%,66%
Fraunhofer-Gesellschaft,74%,77%,77%,67%
Heart and Stroke Foundation of Canada,78%,77%,79%,77%
US Institute of Education Sciences,57%,59%,57%,44%
"Versus Arthritis, UK",67%,72%,69%,57%
Human Frontier Science Program,91%,93%,92%,91%
Gordon and Betty Moore Foundation,94%,94%,93%,94%
Irish Research Council,81%,85%,88%,82%
Villum Foundation,84%,81%,83%,81%
Innovation Fund Denmark,80%,80%,83%,80%
"National Medical Research Council, Singapore",64%,67%,69%,62%
State of Califonia,87%,89%,90%,88%
John D. and Catherine T. MacArthur Foundation,86%,87%,87%,85%
World Health Organization,91%,57%,63%,76%
