Título,Autores,Resumen,Año,URL
Comparisons of null models with topological data analysis,"P Sitoleux, L Carboni, H Lbath","PH is part of topological data analysis (TDA), and offers a framework for building multiscale   Shaded areas give a 95% confidence interval around the mean βi value at the given density",2024,https://eurasip.org/Proceedings/Eusipco/Eusipco2024/pdfs/0000797.pdf
Dynamic topological data analysis of functional human brain networks,"MK Chung, S Das, H Ombao",", rendering the topology too crude for accurate estimation. A larger window size was selected  to provide sufficient points for a more accurate estimation of the underlying topology. The",2024,https://www.aimsciences.org/data/article/export-pdf?id=6580091c92d3ad47ddc9aed7
Uncovering the topology of time-varying fmri data using cubical persistence,"B Rieck, T Yates, C Bock, K Borgwardt","Topological data analysis (TDA) recently started gaining traction in machine learning [13,  32 Topological data analysis of decision boundaries with application to model selection. In K.",2020,https://proceedings.neurips.cc/paper/2020/file/4d771504ddcd28037b4199740df767e6-Paper.pdf
Promises and pitfalls of topological data analysis for brain connectivity analysis,"L Caputi, A Pidnebesna, J Hlinka","In the schizophrenia classification, topological data analysis  Specific applications for  topological data analysis may open  of interictal data for estimation of baseline connectivity, which",2021,https://www.sciencedirect.com/science/article/pii/S105381192100522X
Topological inference on brain networks across subtypes of post-stroke aphasia,"Y Wang, J Yin, RH Desai","In this study, we establish a topological inference framework through stability of HK estimation  on PDs. We evaluate the empirical performance of the spectral permutation test and T-",2023,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10635302/
Topological Representational Similarity Analysis in Brains and Beyond,B Lin,to estimate LIA and its estimation error. We randomly sam-  that adapt RSA to leverage  topological data analysis methods. The  Our temporal topological data analysis techniques further,2023,No disponible
Topological state-space estimation of functional human brain networks,"MK Chung, SG Huang, IC Carroll","We introduce an innovative, data-driven topological data analysis (TDA) technique for  estimating the state spaces of dynamically changing functional human brain networks at rest. Our",2024,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1011869&type=printable
Topological data analysis of human brain networks through order statistics,"S Das, DV Anand, MK Chung","To overcome this issue, the topological data analysis (TDA) has emerged to be a  powerful method to systematically extract information from hierarchical layers of abstraction [12–15].",2023,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0276419&type=printable
Statistical inference for persistent homology applied to simulated fMRI time series data,"H Abdallah, A Regalski, MB Kang, M Berishaj",Topological data analysis involves 15 computations of homology and persistent homology.   For a more comprehensive 18 introduction to topological data analysis in general (rather,2023,https://s.wayne.edu/asalch/files/2023/06/FDS_Submission_revision_4_24.pdf
Altered topological structure of the brain white matter in maltreated children through topological data analysis,"MK Chung, T Azizi, JL Hanson, AL Alexander",We perform topological data analysis (TDA) to assess the alteration in the global topology  of the brain white matter structural covariance network among children. We use persistent,2024,https://direct.mit.edu/netn/article-pdf/doi/10.1162/netn_a_00355/2196583/netn_a_00355.pdf
Topological Data Analysis for Studying Brain Functional Connectivity,H Ryu,"notion of topological data analysis. In Chapter , we introduce topological data analysis for   (SBC) analysis pipeline using topological data analysis for image data, and applies it to",2021,https://esploro.libs.uga.edu/esploro/fulltext/doctoral/Topological-Data-Analysis-for-Studying-Brain/9949391158702959?repId=12683448330002959&mId=13683448320002959&institution=01GALI_UGA
Train-Free Segmentation in MRI with Cubical Persistent Homology,"A François, R Tinarrage","We demonstrate a simple concept for segmentation using Topological Data Analysis (TDA)   By selecting at just before this event, we obtain a reliable estimation of XWT. More precisely,",2024,https://arxiv.org/pdf/2401.01160
Regularized topological data analysis for extraction of coherent brain regions,"I Batta, N Honnorat","This topological data analysis framework analyses a dataset at multiple scales by generating  clusters of increasing sizes, similar to single-linkage hierarchical clustering. Because of this",2019,No disponible
Topological data analysis for functional brain networks,"S Das, H Ombao, MK Chung",,2022,https://repository.kaust.edu.sa/bitstreams/ce20f0c8-8dd3-4568-be68-10c54febfa76/download
Dynamic topological data analysis for functional brain signals,"T Songdechakraiwut, MK Chung",We propose a novel dynamic topological data analysis (TDA) framework that builds  persistent  The least squares estimation of c is then given by ̂c = (PP)−1P B. We subtract the,2020,http://pages.stat.wisc.edu/~mchung/papers/song.2020.pdf
A new approach to investigate the association between brain functional connectivity and disease characteristics of attention-deficit/hyperactivity disorder: Topological …,"S Kyeong, S Park, KA Cheon, JJ Kim, DH Song, E Kim","In this study, the topological data analysis was used to extract a geometric shape from the   of the receiver operating characteristics including the estimation of sensitivity and specificity.",2015,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0137296&type=printable
The persistence transformation; a new methodology of topological data analysis,G Klaila,"comprehensive exploration of the field of Topological Data Analysis, with a particular focus  on  researchers and practitioners navigating the complex terrain of Topological Data Analysis.",2024,https://media.suub.uni-bremen.de/bitstream/elib/7665/3/Dissertation_Klaila_final.pdf
Spectral Topological Data Analysis of Brain Signals,"AB El-Yaagoubi, S Jiao, MK Chung","Topological data analysis (TDA) has become a powerful approach over the last twenty years,  mainly due to its ability to capture the shape and the geometry inherent in the data.",2023,https://arxiv.org/pdf/2401.05343
Generating dynamical neuroimaging spatiotemporal representations (DyNeuSR) using topological data analysis,"C Geniesse, O Sporns, G Petri, M Saggar","In this article, we present an open source neuroinformatics platform for exploring, analyzing,  and validating distilled graphical representations of high-dimensional neuroimaging data",2019,https://direct.mit.edu/netn/article-pdf/3/3/763/1092493/netn_a_00093.pdf
Clinical stratification of Major Depressive Disorder in the UK Biobank: A gene-environment-brain Topological Data Analysis,"E Tassi, A Pigoni, N Turtulici, F Colombo","The number of bootstrapped resampling was chosen balancing the extraction of a complex  graph construction (ie, large number of features and samples), SAFE score estimation and",2024,https://www.medrxiv.org/content/medrxiv/early/2024/09/22/2024.09.19.24313867.full.pdf
